net,length_um
net63,215.84µm
uartUnit.fifoRX._001_,172.44µm
uartUnit.fifoRX._048_,164.12µm
uartUnit.fifoRX._064_,161.395µm
uartUnit.fifoTX._047_,148.915µm
aluUnit._126_,147.51µm
uartUnit.fifoRX._047_,147.3µm
uartUnit.fifoRX._000_,146.05µm
uartUnit.fifoRX._046_,144.38µm
net17,138.9µm
uartUnit.fifoTX._048_,138.46µm
uartUnit.fifoTX._064_,135.395µm
uartUnit.fifoTX._000_,135.2µm
net50,134µm
uartUnit.fifoTX._001_,132.53µm
net39,130.605µm
uartUnit.fifoTX._046_,129µm
net53,119.42µm
net14,119.18µm
net16,118.69µm
net21,118.09µm
net48,110.61µm
net9,110.125µm
alu_uart_interfaceUnit._043_,109.095µm
aluUnit.i_data_b\[3\],108.2µm
alu_uart_interfaceUnit._053_,107.68µm
net32,106.98µm
net38,104.3µm
net49,102.24µm
net55,101.29µm
uartUnit.uartRxUnit._042_,98.74µm
net28,98.64µm
net41,98.28µm
uartUnit.uartRxUnit._057_,96µm
net35,94.36µm
uartUnit.uartTxUnit._043_,92.17µm
alu_uart_interfaceUnit._059_,92.13µm
net54,91.865µm
net20,90µm
net31,89.8µm
net19,89.72µm
net62,89.55µm
net37,88.96µm
net24,88.17µm
aluUnit.i_data_a\[4\],87.985µm
net6,86.08µm
net36,85.96µm
aluUnit.i_data_b\[0\],84.49µm
alu_uart_interfaceUnit._044_,84.1µm
net46,83.66µm
net58,83.06µm
aluUnit.i_data_b\[5\],80.28µm
net56,79.78µm
alu_uart_interfaceUnit._050_,78.4µm
aluUnit.i_data_a\[5\],77.74µm
net7,77.33µm
aluUnit._131_,77.3µm
net61,76.96µm
aluUnit._124_,76.74µm
net44,76.6µm
net60,76.5µm
aluUnit.i_data_a\[7\],76.36µm
net25,75.79µm
net57,74.96µm
net45,74.84µm
net51,72.85µm
aluUnit.i_data_a\[6\],71.75µm
alu_uart_interfaceUnit.o_data_to_write\[4\],71.7µm
net27,71.45µm
net33,68.88µm
aluUnit._108_,68.12µm
alu_uart_interfaceUnit.i_data_to_read\[3\],67.36µm
uartUnit.uartTxUnit._044_,66.435µm
aluUnit._133_,66.32µm
net47,66.32µm
net23,64.82µm
uartUnit.uartTxUnit._022_,64.64µm
aluUnit._098_,63.9µm
net43,63.42µm
uartUnit.baud_rateUnit.o_tick,63.2µm
uartUnit.baud_rateUnit._15_,63.16µm
net22,62.64µm
aluUnit.o_alu_result\[2\],62.3µm
alu_uart_interfaceUnit.o_fifo_rx_read,61.005µm
net42,60.48µm
aluUnit.i_data_a\[1\],60.34µm
aluUnit.i_data_a\[0\],59.975µm
net8,59.86µm
uartUnit.fifoTX.i_read_fifo,59.58µm
alu_uart_interfaceUnit.o_data_to_write\[3\],59.44µm
alu_uart_interfaceUnit._051_,59.4µm
net40,59.06µm
alu_uart_interfaceUnit.i_data_to_read\[4\],58.74µm
aluUnit.i_data_b\[4\],58.66µm
net29,58.015µm
aluUnit._127_,57.94µm
alu_uart_interfaceUnit.state\[3\],56.655µm
net18,56.22µm
net30,56.2µm
uartUnit.uartRxUnit._046_,56.14µm
uartUnit.uartRxUnit._065_,55.64µm
aluUnit.i_data_b\[6\],55.065µm
alu_uart_interfaceUnit.i_data_to_read\[2\],54.9µm
uartUnit.fifoRX.i_data_to_write\[5\],54.34µm
